Count,Code,Description,Retail,Date,Cost,Supplier,Book,Total,Category,,,,,,,,
1,,1402A,,,,,$0.01,$0.01,1,,,,,,,,
5,,2N2222A NPN 40V .8A,,,,,$0.77,$3.85,1,,,,,,,,
,,,,,,,$0.00,$0.00,1,,,,,,,,
58,,2N4403 PNP 40V .6A,,,,,$0.20,$11.60,1,,,,,,,,
1,,MPSA42L,,9/09/2020,$10.00,P Perreaux,$0.00,$0.00,1,,,,,,,,
13,,2N6714 NPN 30V 1A,,,,,$0.20,$2.60,1,,,,,,,,
2,,2N6725 NPN Darl 60V 1A,,,,,$0.30,$0.60,1,,,,,,,,
7,,2SA673 PNP 35V .5A,,,,,$0.20,$1.40,1,,,,,,,,
7,,2SA1145 (mate for 2SC2705),$0.50,15/05/2017,$0.08,eBay,$0.00,$0.00,1,,,,,,,,
7,,2SC2705 (mate for 2SA1145),$0.50,15/05/2017,$0.08,eBay,$0.00,$0.00,1,,,,,,,,
9,,2SB544 PNP 25V 1A,,,,,$0.78,$7.02,1,,,,,,,,
2,,2SC1317 NPN 30V .5A,,,,,$0.05,$0.10,1,,,,,,,,
1,,2SC1335 NPN 30V .1A,,,,,$0.05,$0.05,1,,,,,,,,
1,,2SC1342 NPN 30V .03A,,,,,$0.05,$0.05,1,,,,,,,,
7,,2SC1906 NPN 30V .05A,,,,,$0.05,$0.35,1,,,,,,,,
47,,2SC371 NPN 35V .1A,,,,,$0.05,$2.35,1,,,,,,,,
"1,000",,2SC386A NPN 20V .02A,,,,,$0.00,$0.00,1,,,,,,,,
2,,2SC454 NPN 30V .1A,,,,,$0.05,$0.10,1,,,,,,,,
100,,2SC2240 NPN 120V .1A (mate for 2SA970),$1.80,22/08/2016,$0.05,eBay,$0.00,$0.00,1,,,,,,,,
98,,W1P NPN 40V 600mA surface mount SOT23 (PMBT2222A),$0.40,8/11/2018,$0.08,eBay,$0.00,$0.00,1,,,,,,,,
3,,2SC710 NPN 30V .03A,,,,,$0.05,$0.15,1,,,,,,,,
1,,2SC828 NPN 30V .05A,,,,,$0.05,$0.05,1,,,,,,,,
1,,2SC983 NPN 250V .05A,,,,,$2.25,$2.25,1,,,,,,,,
2,,2SD400 NPN 25V 1A,,,,,$0.76,$1.52,1,,,,,,,,
100,,MPSA42 ,,11/09/2020,$0.04,eBay,$0.01,$1.00,1,,,,,,,,
,,,,,,,$0.00,$0.00,1,,,,,,,,
28,,3N201 DG MOSFET,,,,,$0.01,$0.28,1,,,,,,,,
37,,KTC3200-BL NPN 120V 100mA low noise audio,,2/09/2015,$0.40,eBay,$0.00,$0.00,1,,,,,,,,
10,,9604,,,,,$0.01,$0.10,1,,,,,,,,
45,,2SA970 PNP 120V 100mA (mate for 2SC2240),$2.00,22/08/2016,$0.05,eBay,$0.00,$0.00,1,,,,,,,,
9,,2SC1740 NPN 50V 150mA,$1.20,30/09/2015,$0.27,eBay,$0.00,$0.00,1,,,,,,,,
,,,,,,,$0.00,$0.00,1,,,,,,,,
